curah_hujan;stasiun_meteorologi;bulan;tahun
187.2;Tanjung Priuk;1;2018
494.4;Tanjung Priuk;2;2018
287.0;Tanjung Priuk;3;2018
189.8;Tanjung Priuk;4;2018
34.5;Tanjung Priuk;5;2018
35.1;Tanjung Priuk;6;2018
0.0;Tanjung Priuk;7;2018
46.0;Tanjung Priuk;8;2018
29.7;Tanjung Priuk;9;2018
68.3;Tanjung Priuk;10;2018
191.7;Tanjung Priuk;11;2018
36.6;Tanjung Priuk;12;2018
365.5;Tanjung Priuk;1;2019
216.9;Tanjung Priuk;2;2019
332.1;Tanjung Priuk;3;2019
132.5;Tanjung Priuk;4;2019
24.7;Tanjung Priuk;5;2019
5.0;Tanjung Priuk;6;2019
0.0;Tanjung Priuk;7;2019
0.0;Tanjung Priuk;8;2019
0.0;Tanjung Priuk;9;2019
1.0;Tanjung Priuk;10;2019
80.0;Tanjung Priuk;11;2019
509.3;Tanjung Priuk;12;2019
607.2;Tanjung Priuk;1;2020
784.5;Tanjung Priuk;2;2020
211.1;Tanjung Priuk;3;2020
142.2;Tanjung Priuk;4;2020
52.5;Tanjung Priuk;5;2020
63.3;Tanjung Priuk;6;2020
99.9;Tanjung Priuk;7;2020
77.9;Tanjung Priuk;8;2020
131.9;Tanjung Priuk;9;2020
98.3;Tanjung Priuk;10;2020
114.6;Tanjung Priuk;11;2020
236.5;Tanjung Priuk;12;2020
215.1;Kemayoran;1;2018
431.2;Kemayoran;2;2018
188.6;Kemayoran;3;2018
159.1;Kemayoran;4;2018
16.7;Kemayoran;5;2018
12.6;Kemayoran;6;2018
14.5;Kemayoran;7;2018
33.0;Kemayoran;8;2018
62.0;Kemayoran;9;2018
133.8;Kemayoran;10;2018
140.9;Kemayoran;11;2018
52.3;Kemayoran;12;2018
383.9;Kemayoran;1;2019
270.1;Kemayoran;2;2019
327.3;Kemayoran;3;2019
194.6;Kemayoran;4;2019
47.8;Kemayoran;5;2019
23.1;Kemayoran;6;2019
0.0;Kemayoran;7;2019
0.0;Kemayoran;8;2019
1.0;Kemayoran;9;2019
1.0;Kemayoran;10;2019
50.1;Kemayoran;11;2019
263.8;Kemayoran;12;2019
618.0;Kemayoran;1;2020
1043.2;Kemayoran;2;2020
220.7;Kemayoran;3;2020
182.8;Kemayoran;4;2020
50.4;Kemayoran;5;2020
21.1;Kemayoran;6;2020
12.1;Kemayoran;7;2020
101.0;Kemayoran;8;2020
151.9;Kemayoran;9;2020
208.3;Kemayoran;10;2020
87.3;Kemayoran;11;2020
134.7;Kemayoran;12;2020
621.9;;1;2013
146.6;;2;2013
184.4;;3;2013
204.3;;4;2013
101;;5;2013
256.7;;6;2013
256.7;;7;2013
61.4;;8;2013
49.5;;9;2013
110.1;;10;2013
196.6;;11;2013
338.9;;12;2013
1075;;1;2014
689;;2;2014
174;;3;2014
168;;4;2014
47;;5;2014
174;;6;2014
214;;7;2014
39;;8;2014
0;;9;2014
52;;10;2014
65;;11;2014
211;;12;2014
